country,country_code,super_region,region,sex,age,pop,alcohol_use,drug_use,high_meat,low_exercise,smoking
Maldives,MDV,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,15-49 years,104415,10.71890365,5.351189975,0.003911131,2.31251197,8.131544746
Maldives,MDV,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,50-69 years,19927,41.62778496,8.845267439,0.061028624,38.65217732,113.8547319
Maldives,MDV,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,5-14 years,30447,0.092603625,0.00718916,NA,NA,NA
Maldives,MDV,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,15-49 years,106731,2.422118814,1.234168758,0.002294685,0.630887325,1.248059016
Maldives,MDV,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,Under 5,19266.73913,0.046947656,0.01712008,NA,NA,NA
Maldives,MDV,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,Under 5,17526.84777,0.046054109,0.019100075,NA,NA,NA
Maldives,MDV,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,5-14 years,32117,0.127850979,0.007782597,NA,NA,NA
Mauritius,MUS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,5-14 years,86012,0.151362656,0.014781725,NA,NA,NA
Mauritius,MUS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,15-49 years,330639,2.438132287,0.881582582,0.090073996,2.780631439,3.179132182
Mauritius,MUS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,50-69 years,149944,-0.686935027,1.021823482,1.282129597,56.99254107,24.34644412
Mauritius,MUS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,50-69 years,140602,108.4261341,11.7221447,2.390155896,102.4594414,302.9017709
Mauritius,MUS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,70+ years,28540,136.5131699,9.391369531,4.313600948,467.6780663,1118.844282
Mauritius,MUS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,Under 5,36274.1415,0.029501521,0.216142939,NA,NA,NA
Mauritius,MUS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,70+ years,43143,-30.28499486,1.851631532,2.836377826,415.6548996,115.4979691
Mauritius,MUS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,5-14 years,89376,0.264010055,0.040556955,NA,NA,NA
Mauritius,MUS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,15-49 years,334332,30.75736167,7.762649329,0.190935884,6.875403051,31.08918609
Mauritius,MUS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,Under 5,34905.74763,0.068056113,0.119807351,NA,NA,NA
Myanmar,MMR,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,Under 5,2374134.769,0.011440373,0.144415799,NA,NA,NA
Myanmar,MMR,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,5-14 years,5172978,0.129865657,0.1273865,NA,NA,NA
Myanmar,MMR,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,Under 5,2320254.437,0.007455116,0.156367685,NA,NA,NA
Myanmar,MMR,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,5-14 years,5111099,0.037304309,0.131454181,NA,NA,NA
Myanmar,MMR,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,15-49 years,14771977,4.185140278,2.709934597,0.022015355,1.797651748,9.39934107
Myanmar,MMR,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,15-49 years,14349533,37.0685797,21.58580173,0.039227484,2.969074376,45.42901297
Myanmar,MMR,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,50-69 years,3783036,117.637834,59.82167204,0.373031662,46.59954866,620.2484481
Myanmar,MMR,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,70+ years,728362,162.4764293,57.55072343,0.704384911,240.0781028,2421.335317
Myanmar,MMR,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,50-69 years,4406720,23.65870023,7.444026414,0.270007558,31.14005376,164.4924399
Myanmar,MMR,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,70+ years,1008536,44.33365248,10.91406011,0.552656456,184.1639285,894.4453672
Philippines,PHL,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,70+ years,1069880,246.7765706,6.611183198,3.36876692,198.9691751,1947.038248
Philippines,PHL,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,50-69 years,6603888,31.9059327,0.697831865,1.262979913,23.63689273,134.7194542
Philippines,PHL,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,5-14 years,10808027,0.998784708,0.027667133,NA,NA,NA
Philippines,PHL,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,15-49 years,26931179,31.16451553,2.315547499,0.151690153,3.199085404,48.81846835
Philippines,PHL,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,50-69 years,6228670,143.5657032,3.701760943,1.81364012,44.26794185,593.6549045
Philippines,PHL,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,5-14 years,10108994,0.657740338,0.021913485,NA,NA,NA
Philippines,PHL,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,15-49 years,26105502,4.527859346,0.374265642,0.093208627,1.329788756,8.955765952
Philippines,PHL,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,70+ years,1588294,102.4499885,1.340383005,2.662989209,140.8515964,743.2023063
